seconds,travel,recoveries,x,y,z,safeStation,speed
7.42,-1.71,0,560.90,27.44,-288.38,3737.71,-0.51
7.44,-1.71,0,560.90,27.44,-288.38,3737.71,-0.51
7.46,-1.72,0,560.90,27.44,-288.40,3737.71,-0.51
7.47,-1.73,0,560.90,27.44,-288.41,3737.57,-0.51
7.49,-1.74,0,560.90,27.44,-288.42,3737.57,-0.51
7.51,-1.75,0,560.90,27.44,-288.43,3737.57,-0.51
7.53,-1.76,0,560.90,27.44,-288.44,3737.57,-0.51
7.63,-1.81,0,560.90,27.43,-288.49,3737.57,-0.51
7.64,-1.82,0,560.89,27.43,-288.50,3737.57,-0.51
7.66,-1.82,0,560.89,27.43,-288.50,3737.57,-0.51
7.68,-1.83,0,560.89,27.43,-288.51,3737.57,-0.51
7.70,-1.84,0,560.89,27.43,-288.52,3737.57,-0.51
7.71,-1.85,0,560.89,27.43,-288.53,3737.57,-0.51
7.73,-1.86,0,560.89,27.43,-288.54,3737.44,-0.51
7.75,-1.87,0,560.89,27.43,-288.55,3737.44,-0.51
7.76,-1.88,0,560.89,27.43,-288.56,3737.44,-0.51
7.78,-1.88,0,560.89,27.43,-288.56,3737.44,-0.51
