elapsed,themeTime,voicePlaying,themeVolume,master,radioObjects
45.406,9.792,False,0.270,0,0
45.522,9.920,False,0.270,0,0
45.639,10.048,False,0.270,0,0
45.740,10.133,False,0.270,0,0
45.850,10.261,False,0.270,0,0
45.954,10.368,False,0.270,0,0
46.071,10.475,False,0.270,0,0
46.190,10.581,False,0.270,0,0
46.306,10.709,False,0.270,0,0
46.407,10.816,False,0.270,0,0
46.524,10.923,False,0.270,0,0
46.624,11.029,False,0.270,0,0
46.729,11.136,False,0.270,0,0
46.846,11.243,False,0.270,0,0
46.946,11.349,False,0.270,0,0
47.062,11.456,False,0.270,0,0
47.179,11.584,False,0.270,0,0
47.296,11.691,False,0.270,0,0
47.413,11.819,False,0.270,0,0
47.521,11.925,False,0.270,0,0
47.635,12.032,False,0.270,0,0
47.754,12.160,False,0.270,0,0
47.856,12.267,False,0.270,0,0
47.958,12.352,False,0.270,0,0
48.061,12.459,False,0.270,0,0
48.178,12.565,False,0.270,0,0
48.285,12.693,False,0.270,0,0
48.403,12.800,False,0.270,0,0
48.519,12.928,False,0.270,0,0
48.636,13.035,False,0.270,0,0
48.753,13.141,False,0.270,0,0
48.856,13.269,False,0.270,0,0
48.956,13.376,False,0.270,0,0
49.057,13.461,False,0.270,0,0
49.157,13.568,False,0.270,0,0
49.258,13.653,False,0.270,0,0
49.374,13.781,False,0.270,0,0
49.491,13.909,False,0.270,0,0
49.610,14.016,False,0.270,0,0
49.713,14.123,False,0.270,0,0
49.829,14.229,False,0.270,0,0
