time,racer,x,y,z,speed,grounded,branch,position,earned,rejoinSeconds,road,nextGate,misses,penalty,buzzes
6.140,BLUE,317.211,26.284,469.396,29.274,4,none,0.000,0.000,0.000,43.907,1,0,0.000,0
6.280,YOU reference pilot,321.872,19.896,495.286,25.681,4,none,0.000,0.000,0.000,17.228,1,0,0.000,0
6.280,EMBER,317.374,21.196,489.941,24.661,4,none,0.000,0.000,0.000,22.829,1,0,0.000,0
6.280,GOLD,321.143,26.698,467.800,31.478,4,none,0.000,0.000,0.000,45.486,1,0,0.000,0
6.280,BLUE,317.184,27.366,465.386,29.964,4,none,0.000,0.000,0.000,48.048,1,0,0.000,0
6.420,YOU reference pilot,321.799,20.742,491.746,26.251,4,none,0.000,0.000,0.000,20.869,1,0,0.000,0
6.420,EMBER,317.301,22.025,486.542,25.255,4,none,0.000,0.000,0.000,26.311,1,0,0.000,0
6.420,GOLD,321.114,27.850,463.543,31.525,4,none,0.000,0.000,0.000,49.895,1,0,0.000,0
6.420,BLUE,317.158,28.480,461.288,30.619,4,none,0.000,0.000,0.000,52.284,1,0,0.000,0
6.540,YOU reference pilot,321.748,21.492,488.655,26.716,4,none,0.000,0.000,0.000,24.069,1,0,0.000,0
6.540,EMBER,317.251,22.761,483.569,25.742,4,none,0.000,0.000,0.000,29.356,1,0,0.000,0
6.540,GOLD,321.087,28.847,459.894,31.537,4,none,0.000,0.000,0.000,53.678,1,0,0.000,0
6.540,BLUE,317.135,29.458,457.711,31.075,4,none,0.000,0.000,0.000,55.985,1,0,0.000,0
6.680,YOU reference pilot,321.700,22.401,484.986,27.230,4,none,0.000,0.000,0.000,27.854,1,0,0.000,0
6.680,EMBER,317.206,23.652,480.034,26.285,4,none,0.000,0.000,0.000,32.997,1,0,0.000,0
6.680,GOLD,321.055,30.017,455.637,31.540,4,none,0.000,0.000,0.000,58.093,1,0,0.000,0
6.680,BLUE,317.108,30.618,453.497,31.308,4,none,0.000,0.000,0.000,60.352,1,0,0.000,0
6.820,YOU reference pilot,321.663,23.341,481.252,27.718,4,none,0.000,0.000,0.000,31.701,1,0,0.000,0
6.820,EMBER,317.173,24.583,476.432,26.800,4,none,0.000,0.000,0.000,36.711,1,0,0.000,0
6.820,GOLD,321.023,31.193,451.381,31.539,4,none,0.000,0.000,0.000,62.509,1,0,0.000,0
