time,x,y,z,speed,wheels,up,throttle,brake,nextGate,lap,recoveries
31.90646,906.7419,110.5391,-274.9019,31.9059,4,1,0.07530671,0,3,0,1
32.00646,909.9323,110.539,-274.8642,31.90611,4,1,0.07514954,0,3,0,1
32.12646,913.761,110.539,-274.8376,31.90636,4,1,0.0749466,0,3,0,1
32.24646,917.5897,110.5391,-274.8276,31.90658,4,1,0.07476502,0,3,0,1
32.34646,920.7803,110.5391,-274.8294,31.90674,4,1,0.07463379,0,3,0,1
32.46646,924.6091,110.5391,-274.8404,31.90687,4,1,0.07452088,0,3,0,1
32.58646,928.4378,110.5391,-274.8581,31.90696,4,1,0.0744461,0,3,0,1
32.68646,931.6284,110.5391,-274.8758,31.907,4,1,0.07440644,0,3,0,1
32.80646,935.4572,110.5391,-274.8987,31.90703,4,1,0.07438355,0,3,0,1
32.92646,939.2859,110.5391,-274.9217,31.90703,4,1,0.07437134,0,3,0,1
33.02646,942.4765,110.5391,-274.9398,31.90704,4,1,0.07437439,0,3,0,1
33.14646,946.3052,110.5391,-274.9595,31.90703,4,1,0.07437439,0,3,0,1
33.26646,950.134,110.5391,-274.9764,31.90703,4,1,0.07437592,0,3,0,1
33.38646,953.9627,110.5391,-274.9903,31.90703,4,1,0.07437592,0,3,0,1
33.48646,957.1533,110.5391,-274.9995,31.90703,4,1,0.07437287,0,3,0,1
33.60646,960.9821,110.5391,-275.0079,31.90703,4,1,0.07437592,0,3,0,1
33.72646,964.8108,110.5391,-275.0135,31.90703,4,1,0.07437134,0,3,0,1
33.82646,968.0014,110.5391,-275.0165,31.90703,4,1,0.07437134,0,3,0,1
33.94646,971.8301,110.5391,-275.0182,31.90704,4,1,0.07436829,0,3,0,1
34.06646,975.6589,110.5391,-275.0184,31.90704,4,1,0.07436981,0,3,0,1
34.16646,978.8495,110.5391,-275.0177,31.90705,4,1,0.07436524,0,3,0,1
34.28646,982.6782,110.5391,-275.0161,31.90704,4,1,0.07436371,0,3,0,1
34.40646,986.507,110.5391,-275.0139,31.90705,4,1,0.07436524,0,3,0,1
34.50646,989.6976,110.5391,-275.0119,31.90705,4,1,0.07436371,0,3,0,1
34.62646,993.5263,110.5391,-275.0094,31.90705,4,1,0.07436371,0,3,0,1
34.74646,997.355,110.5391,-275.007,31.90705,4,1,0.07436066,0,3,0,1
34.86646,1001.184,110.5391,-275.0048,31.90705,4,1,0.07436066,0,3,0,1
