seconds,x,y,z,speed,station,lateral,up,wheels
4.459998,820.2374,98.55322,-125.8817,6.873154,1575.24,0,0.9984207,4
4.479999,820.3137,98.56618,-125.7718,6.854147,1575.375,0,0.9975296,4
4.499999,820.3925,98.57936,-125.6628,6.862229,1575.508,0,0.9966606,4
4.519998,820.4733,98.59325,-125.5549,6.866337,1575.643,0,0.9957736,4
4.539998,820.5558,98.60797,-125.4483,6.867636,1575.779,0,0.9948757,4
4.559999,820.6402,98.62354,-125.343,6.866878,1575.914,0,0.9939882,4
4.579999,820.7261,98.64001,-125.2391,6.864693,1576.05,0,0.9930778,4
4.599998,820.8134,98.65744,-125.1367,6.861463,1576.186,0,0.9921421,4
4.619998,820.9019,98.67604,-125.0357,6.857495,1576.321,0,0.9911267,4
4.639998,820.9917,98.69601,-124.9363,6.853031,1576.457,0,0.9900329,4
4.659999,821.0826,98.71756,-124.8384,6.848244,1576.592,0,0.9888792,4
4.679997,821.1746,98.74075,-124.7419,6.843214,1576.891,0,0.9877084,4
4.699998,821.2677,98.76548,-124.647,6.837945,1577.019,0,0.9865847,4
4.719998,821.3621,98.7916,-124.5534,6.832501,1577.149,0,0.9855428,4
4.739999,821.4576,98.8189,-124.4613,6.827018,1577.279,0,0.9845879,4
4.759997,821.5543,98.84724,-124.3707,6.821673,1577.409,0,0.9836766,4
4.779998,821.6517,98.87669,-124.2815,6.816576,1577.541,0,0.9827594,4
4.799998,821.7502,98.9072,-124.1937,6.811708,1577.672,0,0.9819231,4
4.819999,821.8499,98.93858,-124.1073,6.806967,1577.804,0,0.9811986,4
4.839997,821.9503,98.97057,-124.0222,6.802421,1577.936,0,0.9805784,4
4.859998,822.0518,99.00296,-123.9384,6.798134,1578.069,0,0.9800532,4
4.879998,822.1542,99.03562,-123.8558,6.794232,1578.202,0,0.9795645,4
4.899999,822.2573,99.06855,-123.7745,6.790696,1578.335,0,0.9790926,4
4.919999,822.3613,99.10173,-123.6942,6.787464,1578.469,0,0.9786784,4
4.939998,822.4661,99.13504,-123.6151,6.784488,1578.602,0,0.9783372,4
4.959998,822.5717,99.16833,-123.5369,6.781747,1578.736,0,0.9780831,4
4.979999,822.678,99.20143,-123.4598,6.779296,1578.874,0,0.9779005,4
4.999999,822.7851,99.23421,-123.3835,6.777222,1579.009,0,0.9777288,4
5.019998,822.8929,99.26666,-123.3082,6.775436,1579.144,0,0.9775851,4
5.039998,823.0012,99.29881,-123.2336,6.773919,1579.279,0,0.9774483,4
5.059999,823.1102,99.3307,-123.1599,6.772621,1579.414,0,0.9773446,4
5.079999,823.2197,99.36227,-123.0868,6.771517,1579.549,0,0.9772794,4
5.099998,823.3298,99.39349,-123.0145,6.770603,1579.684,0,0.9772468,4
5.119998,823.4406,99.42427,-122.9428,6.769868,1579.819,0,0.9772494,4
5.139998,823.5517,99.45462,-122.8716,6.769341,1579.954,0,0.977245,4
5.159999,823.6633,99.48457,-122.8011,6.76896,1580.09,0,0.9772466,4
5.179997,823.7753,99.5142,-122.731,6.768695,1580.225,0,0.9772419,4
5.199998,823.8877,99.54356,-122.6614,6.768518,1580.36,0,0.9772676,4
5.219998,824.0005,99.57265,-122.5923,6.768435,1580.496,0,0.9773067,4
5.239999,824.1135,99.60151,-122.5236,6.76844,1580.631,0,0.977346,4
5.259997,824.2269,99.6301,-122.4553,6.768507,1580.771,0,0.9773961,4
5.279998,824.3406,99.65846,-122.3873,6.768641,1580.906,0,0.977427,4
5.299998,824.4545,99.68664,-122.3197,6.768799,1581.041,0,0.9774507,4
5.319999,824.5685,99.71468,-122.2523,6.768971,1581.177,0,0.9774764,4
5.339997,824.6828,99.74264,-122.1852,6.769148,1581.312,0,0.9774938,4
5.359998,824.7972,99.77055,-122.1184,6.769327,1581.448,0,0.9775239,4
5.379998,824.9118,99.7984,-122.0518,6.769513,1581.583,0,0.977556,4
5.399999,825.0265,99.82622,-121.9854,6.769702,1581.718,0,0.9775823,4
5.419997,825.1413,99.854,-121.9191,6.769887,1581.854,0,0.9776013,4
5.439998,825.2562,99.88176,-121.853,6.770062,1581.989,0,0.9776098,4
5.459998,825.3712,99.90955,-121.7871,6.770214,1582.125,0,0.9776157,4
5.479999,825.4862,99.93737,-121.7212,6.77035,1582.26,0,0.9776256,4
5.499997,825.6013,99.96526,-121.6555,6.770473,1582.395,0,0.9776484,4
5.519998,825.7164,99.99319,-121.5898,6.770595,1582.531,0,0.9776758,4
5.539998,825.8315,100.0212,-121.5241,6.770719,1582.666,0,0.9777011,4
5.559999,825.9467,100.0492,-121.4585,6.770843,1582.803,0,0.9777194,4
5.579997,826.0618,100.0773,-121.393,6.770958,1582.938,0,0.9777232,4
5.599998,826.1769,100.1053,-121.3274,6.771055,1583.074,0,0.97772,4
5.619998,826.2921,100.1335,-121.2619,6.771128,1583.209,0,0.9777153,4
5.639998,826.4072,100.1617,-121.1963,6.771182,1583.344,0,0.9777136,4
5.659999,826.5222,100.19,-121.1307,6.771223,1583.48,0,0.9777225,4
5.679997,826.6373,100.2183,-121.0651,6.771262,1583.615,0,0.9777363,4
5.699998,826.7523,100.2467,-120.9994,6.771305,1583.75,0,0.9777503,4
5.719998,826.8672,100.275,-120.9336,6.77135,1583.886,0,0.9777609,4
5.739999,826.9821,100.3034,-120.8678,6.771393,1584.021,0,0.9777565,4
5.759997,827.097,100.3317,-120.8019,6.771423,1584.156,0,0.9777473,4
5.779998,827.2118,100.3602,-120.7359,6.771436,1584.292,0,0.9777372,4
5.799998,827.3265,100.3886,-120.6699,6.771437,1584.427,0,0.977729,4
5.819999,827.4413,100.4171,-120.6037,6.771429,1584.563,0,0.977733,4
5.839997,827.556,100.4455,-120.5375,6.771423,1584.698,0,0.977742,4
5.859998,827.6705,100.474,-120.4711,6.771426,1584.834,0,0.9777527,4
5.879998,827.7851,100.5025,-120.4046,6.771436,1584.969,0,0.9777629,4
5.899999,827.8995,100.5309,-120.338,6.771454,1585.104,0,0.9777703,4
5.919997,828.014,100.5594,-120.2713,6.771474,1585.24,0,0.9777706,4
5.939998,828.1283,100.5878,-120.2045,6.77149,1585.375,0,0.9777672,4
5.959998,828.2426,100.6163,-120.1376,6.771498,1585.51,0,0.9777622,4
5.979999,828.3568,100.6447,-120.0706,6.771501,1585.646,0,0.9777573,4
5.999997,828.4708,100.6732,-120.0034,6.771498,1585.781,0,0.9777573,4
6.019998,828.5849,100.7016,-119.9362,6.771496,1585.917,0,0.9777603,4
6.039998,828.6989,100.73,-119.8688,6.771497,1586.052,0,0.9777648,4
6.059999,828.8127,100.7585,-119.8012,6.771502,1586.187,0,0.9777696,4
6.079997,828.9266,100.7869,-119.7336,6.771512,1586.323,0,0.9777713,4
6.099998,829.0403,100.8152,-119.6659,6.771522,1586.458,0,0.977771,4
6.119998,829.1541,100.8436,-119.598,6.77153,1586.593,0,0.9777684,4
6.139998,829.2677,100.872,-119.5301,6.771534,1586.729,0,0.9777641,4
6.159997,829.3813,100.9004,-119.462,6.771536,1586.864,0,0.9777587,4
6.179997,829.4948,100.9288,-119.3938,6.771532,1587,0,0.9777538,4
6.199998,829.6083,100.9572,-119.3256,6.771527,1587.135,0,0.9777513,4
6.219998,829.7217,100.9856,-119.2572,6.77152,1587.27,0,0.9777509,4
6.239997,829.8351,101.014,-119.1887,6.771514,1587.406,0,0.9777524,4
6.259997,829.9484,101.0424,-119.1202,6.771513,1587.541,0,0.9777554,4
6.279998,830.0616,101.0708,-119.0515,6.771516,1587.677,0,0.97776,4
6.299998,830.1747,101.0992,-118.9828,6.771523,1587.812,0,0.9777622,4
6.319997,830.2879,101.1276,-118.914,6.771531,1587.947,0,0.9777617,4
6.339997,830.401,101.156,-118.8451,6.771539,1588.083,0,0.9777584,4
6.359998,830.514,101.1843,-118.7761,6.771543,1588.218,0,0.9777514,4
6.379998,830.627,101.2128,-118.7071,6.77154,1588.354,0,0.9777413,4
6.399997,830.7399,101.2412,-118.638,6.771531,1588.489,0,0.977734,4
6.419997,830.8528,101.2696,-118.5688,6.771517,1588.624,0,0.9777303,4
6.439998,830.9657,101.298,-118.4996,6.771502,1588.76,0,0.9777324,4
6.459998,831.0786,101.3264,-118.4303,6.771492,1588.895,0,0.9777395,4
6.479999,831.1914,101.3549,-118.3609,6.771492,1589.031,0,0.9777504,4
6.499997,831.3042,101.3833,-118.2915,6.771503,1589.166,0,0.9777576,4
6.519998,831.4169,101.4117,-118.2221,6.771518,1589.302,0,0.9777601,4
6.539998,831.5296,101.44,-118.1526,6.771534,1589.437,0,0.9777547,4
6.559999,831.6423,101.4685,-118.0831,6.771542,1589.572,0,0.9777427,4
6.579997,831.755,101.4969,-118.0136,6.771536,1589.708,0,0.9777317,4
6.599998,831.8677,101.5253,-117.944,6.771523,1589.843,0,0.9777235,4
6.619998,831.9803,101.5538,-117.8744,6.771505,1589.979,0,0.9777196,4
6.639998,832.093,101.5823,-117.8048,6.771487,1590.114,0,0.9777241,4
6.659997,832.2056,101.6107,-117.7351,6.771477,1590.25,0,0.9777352,4
6.679997,832.3182,101.6391,-117.6655,6.771479,1590.385,0,0.977748,4
6.699998,832.4308,101.6675,-117.5958,6.771492,1590.52,0,0.9777563,4
6.719998,832.5434,101.6959,-117.5261,6.771511,1590.656,0,0.9777585,4
6.739997,832.656,101.7243,-117.4564,6.771526,1590.791,0,0.9777501,4
6.759997,832.7686,101.7527,-117.3867,6.771532,1590.927,0,0.9777331,4
6.779998,832.8812,101.7812,-117.3171,6.771521,1591.062,0,0.9777097,4
6.799998,832.9937,101.8096,-117.2474,6.771491,1591.198,0,0.977692,4
